Date,Close,High,Low,Open,Volume,log_return,simple_return,rv_rolling_5d,rv_rolling_21d,rv_rolling_63d,park_daily_var,gk_daily_var,park_vol_5d,gk_vol_5d,park_vol_21d,gk_vol_21d
2015-01-05,167.0526123046875,169.24718101537695,166.74620416225187,169.08155533396388,169632600,-0.01822465443009007,-0.01805958968589272,,,,7.993711514449134e-05,5.451703323491214e-05,,,,
2015-01-06,165.47914123535156,167.88074508876025,164.68412031268113,167.35901221336937,209151400,-0.009463654499191865,-0.009419015049379031,,,,0.00013330053178219078,0.0001355016581005884,,,,
2015-01-07,167.54122924804688,167.8807701425897,166.35699350286723,166.80418415106138,125346700,0.012384313698579555,0.012461316860247207,,,,2.9985558733955585e-05,3.4059896644257256e-05,,,,
2015-01-08,170.5142364501953,170.72956120963863,168.9324966547846,168.9490503774883,147217800,0.017589325738474264,0.017744928907897917,,,,4.038461315953613e-05,2.3135304368117666e-05,,,,
2015-01-09,169.14779663085938,170.94486105666158,168.53496775123423,170.92829469871802,158567300,-0.008045922463097974,-0.008013640665922028,0.2436820175258404,,,7.270374982173922e-05,5.843258682660404e-05,0.13400784700737647,0.1241151987082717,,
2015-01-12,167.82275390625,169.43763882404554,167.21821456736416,169.28029002598933,144396100,-0.0078644828278987,-0.007833638693509504,0.20616581172662143,,,6.270402790374629e-05,5.803959715321242e-05,0.1307270265194572,0.12482836124805972,,
2015-01-13,167.35073852539062,170.1664129335598,166.05055106093317,169.0401406430063,214553300,-0.0028165454820046143,-0.0028125827390668157,0.1898278355763834,,,0.00021622219358397463,0.0002607746553073372,0.1458382913278566,0.14797256107500553,,
2015-01-14,166.34042358398438,166.53918199916947,164.44398600526128,165.33836728251805,192991100,-0.006055407774065048,-0.006037110743033591,0.1721166174827802,,,5.781275080691723e-05,6.604189485184078e-05,0.15056990966958186,0.15332244304327547,,
2015-01-15,164.81661987304688,167.29275329332586,164.70068064236253,166.9780683165703,176613900,-0.009202971797640607,-0.009160754061493304,0.039592502770651884,,,8.794831830089614e-05,5.634676675273301e-05,0.15833037749285694,0.15868720567501043,,
2015-01-16,166.9780731201172,167.1354219312357,164.42739733525644,164.60958936534854,211879600,0.0130290439797005,0.013114291803431044,0.14365468337887538,,,9.624261504100843e-05,5.458229899603522e-05,0.1620335374053216,0.15807458599750435,,
2015-01-20,167.3341827392578,167.88075887871344,165.76899662094755,167.61574767057863,130991100,0.0021304020273632132,0.002132672946132619,0.13790968496231695,,,5.779557159597478e-05,7.902979249880544e-05,0.16126835103692871,0.1613861226490688,,
2015-01-21,168.17889404296875,168.65921739145298,166.40667261614846,166.87042960463523,122942700,0.00503535120955239,0.005048049895622242,0.141126600517979,,,6.52039720060105e-05,6.682572188219162e-05,0.13563245437077617,0.12755569112773033,,
2015-01-22,170.67987060546875,170.8123635660142,167.55777539756028,168.9324925342067,174356000,0.014761441856346593,0.014870930010165262,0.15259317781266407,,,0.00013347789490622297,0.00014413310770811428,0.14902914460348246,0.14214869491848714,,
2015-01-23,169.74403381347656,170.6798370329486,169.61152824256558,170.42310275064852,117516800,-0.005498081287982687,-0.005482994501181726,0.13143810036534623,,,1.4219002739734123e-05,1.3553966482941913e-05,0.13599164840887518,0.134348406516161,,
2015-01-26,170.1416015625,170.23269759703916,168.81658326680397,169.528785181447,92009700,0.002339421787591335,0.002342160369891433,0.11585230272407751,,,2.5168108059937456e-05,2.986090801989822e-05,0.12211295297845003,0.12962845454696414,,
2015-01-27,167.89727783203125,169.04010359425013,167.06913699508286,168.08774668633,134044600,-0.013278689786584256,-0.013190916917778739,0.1689392151736061,,,4.9611472712156504e-05,6.827952792434375e-05,0.12041218668130192,0.12752146052206853,,
2015-01-28,165.74415588378906,169.18093632444723,165.55368697285624,169.0815634381223,168514300,-0.012906981095983965,-0.012824043224787918,0.18681800342883556,,,0.00016941899053731426,8.133644890434696e-05,0.14054014243393387,0.1303574452633915,,
