Date,Close,High,Low,Open,Volume,log_return,simple_return,rv_rolling_5d,rv_rolling_21d,rv_rolling_63d,park_daily_var,gk_daily_var,park_vol_5d,gk_vol_5d,park_vol_21d,gk_vol_21d
2015-01-05,93.27642822265624,94.36157278972004,93.00973937812994,94.2512166076792,36521300,-0.014777567178679943,-0.014668914797211885,,,,7.509824119884961e-05,6.235636518714993e-05,,,,
2015-01-06,92.0257797241211,93.57073164269852,91.6119561989712,93.41439893462844,66205500,-0.01349867875662896,-0.013407980154962362,,,,0.00016142673734735803,0.00013713802981697097,,,,
2015-01-07,93.21208953857422,93.43279496706715,92.41202271315107,92.6327351577431,37577400,0.012808677169324397,0.01289105963578363,,,,4.352513000038898e-05,4.532213880901624e-05,,,,
2015-01-08,94.9961395263672,95.1800595402954,93.90179650002764,94.00295461251778,40212600,0.01895882485203263,0.019139684526165324,,,,6.59368995067097e-05,4.8737510284234665e-05,,,,
2015-01-09,94.37077331542967,95.31797443328809,93.81899940715395,95.29038714109365,41410100,-0.0066048337057066624,-0.006583069733733238,0.2466654143089928,,,9.06209576735773e-05,8.929950205963249e-05,0.14834096356918725,0.1389093903460562,,
2015-01-12,93.38678741455078,94.65585197648804,93.1476858538043,94.5546938937144,34129800,-0.01048154764751543,-0.010426807647214709,0.23261985879326363,,,9.304307072868801e-05,6.931448698515018e-05,0.15135871590674516,0.14016600181546246,,
2015-01-13,93.35922241210938,95.29041767774962,92.60513911405614,94.29723274389444,56162300,-0.00029521383259742883,-0.00029517026128167423,0.20011991182485586,,,0.000294699465067429,0.00036993251627511295,0.17212323015220918,0.17714217505275975,,
2015-01-14,92.84422302246094,93.32242620275812,92.0257671728998,92.42120144979656,51354200,-0.00553159155170436,-0.00551632046992756,0.1845274074517154,,,7.06095709072027e-05,8.982971136549967e-05,0.17604392116666162,0.1833644781283151,,
2015-01-15,91.63954162597656,93.4235881147602,91.52918541401225,93.27645351490617,51005400,-0.013060211798978314,-0.012975297301943467,0.07773825171271365,,,0.00015136582316870197,8.874914365902261e-05,0.18787517114376287,0.1887832571001959,,
2015-01-16,92.71548461914062,92.835031915176,91.37284900051216,91.51998359439428,35362200,0.01167264306854602,0.011741034209397094,0.15568738893956344,,,9.090332703125086e-05,6.0954288353029455e-05,0.18791304198465028,0.18496085907711898,,
2015-01-20,93.45118713378906,93.69028174759924,92.22809869998802,93.27645821007498,30964100,0.007903738489875703,0.007935055483672127,0.15872115044697277,,,8.923829857799226e-05,0.00012235757136472292,0.18740210999753945,0.19205179208556306,,
2015-01-21,93.92938232421876,94.370800173247,92.84423742046047,93.17529905320698,40128800,0.005104010836677477,0.005117058488995907,0.1623792342468192,,,9.59271748715053e-05,0.00010788453569687546,0.15843429996580702,0.15387226072990923,,
2015-01-22,95.66744995117188,95.76860805949534,93.4695728995956,94.29722696037922,40887200,0.01833486663200984,0.018503982289096443,0.18649103019790478,,,0.000212956534964884,0.0002148252254871388,0.1796544304885422,0.17313707440598555,,
2015-01-23,95.8789520263672,96.17322820860258,95.38235965332667,95.65823962761743,34783000,0.0022083647509691176,0.002210804984383641,0.09938366986811253,,,2.4592259935340245e-05,3.204035403304513e-05,0.1608922832431718,0.16467642070653138,,
2015-01-26,95.76861572265624,95.94334465394152,95.2812213523332,95.76861572265624,19960900,-0.0011514502082919814,-0.0011507875438669934,0.11798084944926482,,,1.7296904445451057e-05,2.397860109755837e-05,0.14891797443182173,0.15891742792733204,,
2015-01-27,93.28564453125,94.3156077002576,92.97297212915991,94.2604331065173,45253200,-0.02626879677350915,-0.025926773324121855,0.25815507498238094,,,7.41452141190621e-05,6.104337967173358e-05,0.14634162651872717,0.14887751219614098,,
2015-01-28,92.80742645263672,94.88575568219028,92.78903726303746,94.78459759915248,43591700,-0.005139569450586434,-0.005126384461577871,0.25472962180736286,,,0.0001800856089083243,7.799118765782398e-05,0.16017945163972286,0.14372852499258426,,
2015-01-29,93.6994857788086,93.87421471357284,91.9246301773639,92.73388810872083,46539700,0.009566038256881805,0.009611939047002194,0.21412498336497693,,,0.00015885633623629724,0.00017877100444094602,0.15142921353451433,0.1372616339543421,,
2015-01-30,92.97298431396484,94.33401627208129,92.84423890096583,93.61671839505864,42927600,-0.007783741571557007,-0.007753526700869706,0.2070444931429074,,,9.139550523738093e-05,0.00010830947554244892,0.162165626058374,0.150614474337262,,
2015-02-02,93.78226470947266,93.8650266246042,91.73152183598027,93.18451404115604,43624700,0.008666802838349006,0.008704468308502467,0.23219905323753084,,,0.00019066029204400865,0.0002485172719259983,0.18717693503707045,0.1843948721891233,,
2015-02-03,94.6834487915039,94.7478214855525,93.5063440911308,94.12248373646712,30750400,0.009563447204999728,0.009609323093476396,0.13767024473504,0.19053060083921758,,6.274448707280232e-05,7.334211225590112e-05,0.18563568721218504,0.18606806553486055,0.1673963382769123,0.16651826609602965
2015-02-04,94.6007080078125,95.22604589638658,94.08571932445211,94.29723366127676,34073200,-0.0008742494919859169,-0.0008738674472410501,0.12453603087002407,0.18286818975744942,,5.2346581201776054e-05,6.857964659413408e-05,0.16739940672036493,0.18478902386850574,0.1665788526450869,0.1667423531095563
2015-02-05,95.41915893554688,95.48353164052334,94.6007029653754,94.83979757466015,23605500,0.008614425451574984,0.008651636388036232,0.12192954317485347,0.17723548574624962,,3.112013337003797e-05,2.8813523343258774e-05,0.14691717648345512,0.1630617254138805,0.16181728863389636,0.16279778328597538
