Ticker,Arch,Lag,Avg_Attn
QQQ,TemporalAttention,24,0.03128666803240776
QQQ,TemporalAttention,25,0.03129541128873825
QQQ,TemporalAttention,26,0.031306326389312744
QQQ,TemporalAttention,27,0.03132211044430733
QQQ,TemporalAttention,28,0.03132897987961769
QQQ,TemporalAttention,29,0.03134097531437874
QQQ,TemporalAttention,30,0.031359218060970306
QQQ,TemporalAttention,31,0.03137612342834473
QQQ,TemporalAttention,32,0.03139374777674675
QQQ,TemporalAttentionPos,1,0.03137766569852829
QQQ,TemporalAttentionPos,2,0.03135606274008751
QQQ,TemporalAttentionPos,3,0.031340163201093674
QQQ,TemporalAttentionPos,4,0.03129848465323448
QQQ,TemporalAttentionPos,5,0.031315334141254425
QQQ,TemporalAttentionPos,6,0.03128441423177719
QQQ,TemporalAttentionPos,7,0.03129027038812637
QQQ,TemporalAttentionPos,8,0.0312582366168499
QQQ,TemporalAttentionPos,9,0.031248966231942177
QQQ,TemporalAttentionPos,10,0.0312577523291111
QQQ,TemporalAttentionPos,11,0.031267836689949036
QQQ,TemporalAttentionPos,12,0.03127479925751686
QQQ,TemporalAttentionPos,13,0.031228916719555855
QQQ,TemporalAttentionPos,14,0.03122904896736145
QQQ,TemporalAttentionPos,15,0.031211011111736298
QQQ,TemporalAttentionPos,16,0.03121872991323471
QQQ,TemporalAttentionPos,17,0.031240226700901985
QQQ,TemporalAttentionPos,18,0.031239831820130348
QQQ,TemporalAttentionPos,19,0.0312198419123888
QQQ,TemporalAttentionPos,20,0.03124302066862583
QQQ,TemporalAttentionPos,21,0.031225189566612244
QQQ,TemporalAttentionPos,22,0.031228957697749138
QQQ,TemporalAttentionPos,23,0.03121229074895382
QQQ,TemporalAttentionPos,24,0.03119845502078533
QQQ,TemporalAttentionPos,25,0.031223010271787643
QQQ,TemporalAttentionPos,26,0.031193146482110023
QQQ,TemporalAttentionPos,27,0.031222118064761162
QQQ,TemporalAttentionPos,28,0.03122848831117153
QQQ,TemporalAttentionPos,29,0.03121967799961567
QQQ,TemporalAttentionPos,30,0.03122442401945591
QQQ,TemporalAttentionPos,31,0.03122362494468689
QQQ,TemporalAttentionPos,32,0.031199995428323746
QQQ,Transformer,1,0.030906634405255318
QQQ,Transformer,2,0.03145146742463112
QQQ,Transformer,3,0.03117518685758114
QQQ,Transformer,4,0.031929753720760345
QQQ,Transformer,5,0.03164728358387947
QQQ,Transformer,6,0.03176157549023628
QQQ,Transformer,7,0.031264204531908035
QQQ,Transformer,8,0.031042415648698807
QQQ,Transformer,9,0.030902903527021408
QQQ,Transformer,10,0.0315457247197628
QQQ,Transformer,11,0.030741123482584953
QQQ,Transformer,12,0.031245047226548195
QQQ,Transformer,13,0.03078000620007515
QQQ,Transformer,14,0.03114144690334797
QQQ,Transformer,15,0.031519971787929535
QQQ,Transformer,16,0.03141994774341583
QQQ,Transformer,17,0.030923523008823395
QQQ,Transformer,18,0.031002560630440712
QQQ,Transformer,19,0.03058440610766411
QQQ,Transformer,20,0.030210359022021294
QQQ,Transformer,21,0.031848691403865814
QQQ,Transformer,22,0.030781304463744164
QQQ,Transformer,23,0.03209825977683067
QQQ,Transformer,24,0.03125230595469475
QQQ,Transformer,25,0.031125033274292946
QQQ,Transformer,26,0.031949061900377274
QQQ,Transformer,27,0.03137354180216789
QQQ,Transformer,28,0.03141626715660095
QQQ,Transformer,29,0.031325362622737885
QQQ,Transformer,30,0.031115969642996788
QQQ,Transformer,31,0.030837567523121834
QQQ,Transformer,32,0.03168109804391861
AAPL,TemporalAttention,1,0.031202543526887894
AAPL,TemporalAttention,2,0.031193353235721588
AAPL,TemporalAttention,3,0.031185844913125038
AAPL,TemporalAttention,4,0.03118283860385418
AAPL,TemporalAttention,5,0.03119393065571785
AAPL,TemporalAttention,6,0.031202759593725204
AAPL,TemporalAttention,7,0.031210336834192276
AAPL,TemporalAttention,8,0.031223531812429428
AAPL,TemporalAttention,9,0.031230207532644272
AAPL,TemporalAttention,10,0.031236113980412483
AAPL,TemporalAttention,11,0.031241552904248238
AAPL,TemporalAttention,12,0.031242188066244125
AAPL,TemporalAttention,13,0.031237872317433357
AAPL,TemporalAttention,14,0.03123963624238968
AAPL,TemporalAttention,15,0.03124561533331871
AAPL,TemporalAttention,16,0.031247684732079506
AAPL,TemporalAttention,17,0.031246401369571686
AAPL,TemporalAttention,18,0.031247397884726524
AAPL,TemporalAttention,19,0.031248537823557854
AAPL,TemporalAttention,20,0.031251367181539536
AAPL,TemporalAttention,21,0.03124876692891121
AAPL,TemporalAttention,22,0.031247226521372795
AAPL,TemporalAttention,23,0.03125331550836563
AAPL,TemporalAttention,24,0.031261175870895386
AAPL,TemporalAttention,25,0.03126995265483856
AAPL,TemporalAttention,26,0.03127846494317055
AAPL,TemporalAttention,27,0.0312882661819458
AAPL,TemporalAttention,28,0.0312964953482151
AAPL,TemporalAttention,29,0.031306326389312744
AAPL,TemporalAttention,30,0.031324829906225204
AAPL,TemporalAttention,31,0.03134457767009735
AAPL,TemporalAttention,32,0.03137090429663658
AAPL,TemporalAttentionPos,1,0.03119601681828499
