ticker,arch,epoch,train_loss,val_loss
SPY,TemporalAttention,1,0.3516568621860371,0.036244424942292665
SPY,TemporalAttention,2,0.1695134458092863,0.026881767163767403
SPY,TemporalAttention,3,0.10099037727688481,0.012690576644180189
SPY,TemporalAttention,4,0.0573356551040865,0.02509327773424916
SPY,TemporalAttention,5,0.03907779665500213,0.011671929389126319
SPY,TemporalAttention,6,0.030304626007082454,0.016553277135791637
SPY,TemporalAttention,7,0.027743747386695855,0.010521344560429566
SPY,TemporalAttention,8,0.02598773811161563,0.00985293750672188
SPY,TemporalAttention,9,0.023552295676641005,0.010140803334464255
SPY,TemporalAttention,10,0.025699696340654204,0.011043233740934752
SPY,TemporalAttention,11,0.022136113844617472,0.008475709440452712
SPY,TemporalAttention,12,0.022954851663438882,0.008955437749540223
SPY,TemporalAttention,13,0.023476483169623686,0.009377262812401903
SPY,TemporalAttention,14,0.020262038224182294,0.008302454141675866
SPY,TemporalAttention,15,0.02075486256208363,0.008229670948541505
SPY,TemporalAttention,16,0.021480783407165076,0.010167658783292356
SPY,TemporalAttention,17,0.018824788211244153,0.009019704714603023
SPY,TemporalAttention,18,0.018750366422394794,0.008561476872519668
SPY,TemporalAttention,19,0.018658621838441282,0.008169380387753472
SPY,TemporalAttention,20,0.017846388990428213,0.00900362505353427
SPY,TemporalAttention,21,0.018484880721726635,0.01043766812085265
SPY,TemporalAttention,22,0.018059785109904015,0.008178704425244402
SPY,TemporalAttention,23,0.01800723203182474,0.008591803232789096
SPY,TemporalAttention,24,0.017571026729185875,0.008184817612619329
SPY,TemporalAttention,25,0.017768605065794838,0.008337531475126184
SPY,TemporalAttention,26,0.017562178555577904,0.008841034713817439
SPY,TemporalAttention,27,0.01694984449541295,0.008865394013324627
SPY,TemporalAttention,28,0.01654200265677164,0.008369002284664185
SPY,TemporalAttention,29,0.01611348561909376,0.008430018214004716
SPY,TemporalAttention,30,0.01621282643549734,0.009318179353770512
SPY,TemporalAttention,31,0.016353347803346664,0.008640019515445246
SPY,TemporalAttentionPos,1,0.15420258037127313,0.016170663899160866
SPY,TemporalAttentionPos,2,0.08419484289634242,0.012953953320314562
SPY,TemporalAttentionPos,3,0.04383196752903945,0.013746480800603566
SPY,TemporalAttentionPos,4,0.028572416183495028,0.010444286783554949
SPY,TemporalAttentionPos,5,0.024985036990077432,0.011823654240890076
SPY,TemporalAttentionPos,6,0.02074458975797109,0.010106692356722695
