date,dcc_corr_SPY_QQQ,dcc_corr_SPY_AAPL,dcc_corr_QQQ_AAPL
2015-02-04,0.9116923152776323,0.6504111087594414,0.7359683908109834
2015-02-05,0.9114140060110922,0.6487253647221062,0.7353690375330212
2015-02-06,0.9119375813149901,0.6488481508304756,0.7353630377589025
2015-02-09,0.9116452782736237,0.6494214347749567,0.7358949085146096
2015-02-10,0.9116829229075207,0.6475625333073936,0.7344536584886577
2015-02-11,0.9121696654769691,0.6511206953034301,0.7369386315557519
2015-02-12,0.9117708636764915,0.647872571772826,0.7356009185006951
2015-02-13,0.9125466260951623,0.6498254842506264,0.7364305575568472
2015-02-17,0.9120294538586038,0.6501623814423154,0.7357263278168448
2015-02-18,0.9119494508869359,0.6503154382590823,0.735691098160101
2015-02-19,0.9118307489614683,0.6499839793001947,0.7356991994989592
2015-02-20,0.9103622743485621,0.6500936526966632,0.7343505320842398
2015-02-23,0.9110128633188478,0.6509679113003968,0.7352171099096149
2015-02-24,0.9110804468651872,0.6440061238200029,0.7293024678342466
2015-02-25,0.9109370268533269,0.6435187001445031,0.729955162829316
2015-02-26,0.910982199042458,0.6401869682651685,0.7277032694940239
2015-02-27,0.9087701438979192,0.6398511931561353,0.730266754487388
2015-03-02,0.9095229840309375,0.6427231353440176,0.7321344729487282
2015-03-03,0.9104792385683799,0.6439741599211735,0.7313492069616132
2015-03-04,0.9109742178575957,0.6436606640885328,0.7305397774710193
2015-03-05,0.9112889737934075,0.6455659917153342,0.7320071018991139
2015-03-06,0.9113783144060702,0.6420351484404574,0.727211382366178
2015-03-09,0.91245861666348,0.6296463828909071,0.7204992869282187
2015-03-10,0.9123185412924641,0.6339333365184434,0.7237383732754199
2015-03-11,0.9161326487475271,0.6446045706128218,0.7304033034167617
2015-03-12,0.9148863704487424,0.6445403080543398,0.7324152533649383
2015-03-13,0.9124201613207965,0.6505585642101199,0.7346544171897434
2015-03-16,0.9123626761853636,0.6512249383057235,0.735398618399415
2015-03-17,0.9141199212281239,0.6521042523308754,0.7357078184887926
2015-03-18,0.9124697169530311,0.6448120489554476,0.7336372730572027
2015-03-19,0.9133260814920884,0.6476723772188152,0.7354187552873674
2015-03-20,0.9109210446930386,0.6490014770955955,0.7338468570761473
2015-03-23,0.9114467758342301,0.6362491341228933,0.7240046610895553
2015-03-24,0.9115324960151588,0.6359959050208152,0.723076707763632
2015-03-25,0.9115949125749077,0.6389408704538965,0.7258076842731067
2015-03-26,0.910614848107176,0.651906765020322,0.7369548774290638
2015-03-27,0.9108426338601514,0.6496774022510422,0.7341795574965693
2015-03-30,0.9109781708968901,0.6474480051207858,0.7308624045956543
2015-03-31,0.9123966168105944,0.655821627078926,0.7363543380464691
2015-04-01,0.9131404105579729,0.6579715349555525,0.7389151022254767
2015-04-02,0.9129573280600405,0.6563312245838137,0.7377368182063895
2015-04-06,0.9121968102397147,0.6559076903890451,0.7366701798819768
2015-04-07,0.9126762164540261,0.6574834669000869,0.738865636445511
2015-04-08,0.9124577442431555,0.6564213240912974,0.7377380654567964
2015-04-09,0.9115922336413254,0.6536500515242607,0.7323851302668805
2015-04-10,0.9118541839655611,0.6540049055476566,0.7339133555962348
2015-04-13,0.9118683177480071,0.6534710574724203,0.7345661768390205
2015-04-14,0.9115853445328087,0.6524869329454573,0.7348601021753721
2015-04-15,0.9098448406445167,0.6507168860044946,0.7353709430966618
2015-04-16,0.9105175022987204,0.6509203833684526,0.7351855483569341
2015-04-17,0.9106699802795644,0.6505058818417083,0.7353675632496567
2015-04-20,0.9132333533509421,0.6538250120314955,0.7356453414538596
2015-04-21,0.9136275800555047,0.6596650143674792,0.7437380670592667
2015-04-22,0.9114209783637229,0.657906442802904,0.7390112740302061
2015-04-23,0.9118049119049592,0.6583954224159895,0.7394237484967858
2015-04-24,0.9118799956133941,0.6573546038652534,0.7393207040516728
2015-04-27,0.9053153432722546,0.656410958427985,0.7347472722953842
2015-04-28,0.9061841762626681,0.63877938613798,0.7233374969703273
2015-04-29,0.9048807237433808,0.6300023040457502,0.7231046372535934
2015-04-30,0.9065892579224124,0.6358160276500093,0.7273664246992858
2015-05-01,0.9098180475400497,0.6492073427915789,0.739025037954007
2015-05-04,0.9120648056173181,0.6596713250275617,0.7446302349654228
2015-05-05,0.9118231576812728,0.6568914694712149,0.7426437784598244
2015-05-06,0.9142570587081926,0.6632968412996502,0.7472148956771311
2015-05-07,0.9140134033739505,0.6614651840033904,0.7453918300986218
2015-05-08,0.9138409077423353,0.659973876672885,0.7440015464628593
2015-05-11,0.9141500064745264,0.6640400664194694,0.7463166140617609
2015-05-12,0.9136648357808432,0.6627857569440136,0.7447733749067473
2015-05-13,0.9134211109701431,0.6606322474251559,0.743132090785767
2015-05-14,0.9129211488762763,0.658663407415067,0.7417111018986379
2015-05-15,0.9145989712490741,0.6647116153301191,0.7469936302357129
2015-05-18,0.9139451467324117,0.6617436405982251,0.7448522626809305
2015-05-19,0.913680063239208,0.6603395431245672,0.7437849608665639
2015-05-20,0.9132739541526792,0.6584232194854193,0.7422758015872171
2015-05-21,0.9128140794473709,0.6568295000107179,0.7410214954503247
2015-05-22,0.9127023649907193,0.6564248894002952,0.7411497670976952
2015-05-26,0.9122465605542945,0.6510754726399973,0.7378208792106455
2015-05-27,0.9139248774587699,0.6607239559874893,0.7434595307906116
2015-05-28,0.9146791223631595,0.6647882284157123,0.7468005529555538
2015-05-29,0.9141109374940486,0.662107578065904,0.7447699997063061
2015-06-01,0.9138943424179442,0.6623122422184804,0.7444018315925685
2015-06-02,0.9135404135266431,0.6600711454555565,0.7426907727775328
2015-06-03,0.9130052299141665,0.6582651282124451,0.7416912288948346
2015-06-04,0.9128684031953965,0.656510383138773,0.7403876873854155
2015-06-05,0.9129656492261026,0.6546851256155949,0.7397302752907707
2015-06-08,0.9127835135442129,0.6541620520011843,0.7392581320970438
2015-06-09,0.913266250699076,0.6546120939033698,0.7382810444293936
2015-06-10,0.912808383641088,0.6536392046728444,0.7379523097189417
2015-06-11,0.9153190950631679,0.6564197642002271,0.7398416934387546
2015-06-12,0.9142614072054018,0.653411384105655,0.7384848730060487
2015-06-15,0.9146781721632873,0.6566796798201222,0.74058091094319
2015-06-16,0.9144398245958133,0.6550919274381709,0.739235923997364
