Date,weighted_sum_vol,portfolio_vol_dcc,portfolio_vol_ccc,diversification_benefit
2015-02-04,0.0009613340456421801,0.0008792029275461622,0.0009030170594793335,8.213111809601793e-05
2015-02-05,0.0009345784182228081,0.0008544167921649061,0.0008778770851743427,8.016162605790195e-05
2015-02-06,0.0009178605502459941,0.0008390070225444826,0.0008620432450106925,7.885352770151154e-05
2015-02-09,0.0008946431209592499,0.0008179346331559275,0.000840261585895768,7.670848780332235e-05
2015-02-10,0.0008705890031802104,0.0007955295627557619,0.0008176519942944604,7.505944042444847e-05
2015-02-11,0.0008765619350303613,0.0008017779282548742,0.0008232855763951538,7.478400677548712e-05
2015-02-12,0.0008671772964743527,0.0007928477491739843,0.0008146358291310147,7.432954730036837e-05
2015-02-13,0.0008596866604110492,0.0007862855940722105,0.0008075348168420459,7.340106633883868e-05
2015-02-17,0.0008397812354108808,0.0007680227786522143,0.0007888491432627684,7.175845675866659e-05
2015-02-18,0.0008155496910358283,0.0007458766605885368,0.0007660930420648186,6.967303044729152e-05
2015-02-19,0.0007924450761590587,0.0007247261992298715,0.0007444051105791052,6.771887692918718e-05
2015-02-20,0.0007700821388635952,0.0007040774894184628,0.0007234114384214109,6.600464944513237e-05
2015-02-23,0.0007545728826282729,0.0006900758442075272,0.0007088148446863756,6.44970384207457e-05
2015-02-24,0.0007567377014974113,0.0006910708820974117,0.0007111064603561424,6.56668193999996e-05
2015-02-25,0.0007357256144424739,0.0006718926796026942,0.0006913577424360989,6.383293483977969e-05
2015-02-26,0.0007373371077965766,0.0006732358443058239,0.0006931850646711041,6.410126349075266e-05
2015-02-27,0.0007223968048577697,0.0006598440323088938,0.000679219313570222,6.25527725488759e-05
2015-03-02,0.0007109398472774817,0.0006499860629696302,0.0006685340858715154,6.0953784307851504e-05
2015-03-03,0.0006997504310989371,0.0006396831705010412,0.0006579061999422464,6.006726059789593e-05
2015-03-04,0.0006817590222156743,0.0006230851901778022,0.0006409437052386358,5.867383203787206e-05
2015-03-05,0.0006653030175720175,0.0006083180225942949,0.0006254406591235383,5.698499497772266e-05
2015-03-06,0.0006561618050382997,0.0005994184875094258,0.0006169986103994683,5.6743317528873904e-05
2015-03-09,0.0006645629697199242,0.0006046413591773197,0.0006243256082735093,5.9921610542604535e-05
2015-03-10,0.0006471902771969173,0.0005894506663184822,0.0006079728052979898,5.773961087843509e-05
2015-03-11,0.0006940223698076926,0.0006336708594791396,0.000651753217108566,6.035151032855301e-05
2015-03-12,0.0006892222049737744,0.0006295510630886215,0.0006473548091088997,5.96711418851529e-05
2015-03-13,0.000696615163701478,0.0006366927183356937,0.0006541014869509335,5.9922445365784304e-05
2015-03-16,0.0006816708554960157,0.0006231062777659573,0.0006400254622922517,5.8564577730058445e-05
2015-03-17,0.0006914750124194266,0.0006321146581973122,0.0006490976800617339,5.936035422211437e-05
2015-03-18,0.0006825235533817989,0.0006230226493410622,0.0006407380993818143,5.9500904040736676e-05
2015-03-19,0.0006848247874534574,0.0006254568758410625,0.0006427821350718559,5.9367911612394895e-05
2015-03-20,0.0006681069553430897,0.0006100177139183994,0.0006270711717354748,5.8089241424690344e-05
2015-03-23,0.00066362873965266,0.0006038398771625942,0.0006228210735707853,5.978886249006577e-05
2015-03-24,0.0006486238392517795,0.0005901035903487697,0.0006087559307925385,5.8520248903009804e-05
2015-03-25,0.00063315717111402,0.0005764865412681595,0.0005942070006779408,5.6670629845860456e-05
2015-03-26,0.0007005892893559877,0.0006406269623997728,0.0006578326082656547,5.9962326956214916e-05
2015-03-27,0.0006825191559837526,0.0006236562246785849,0.0006408713570156195,5.886293130516777e-05
2015-03-30,0.0006660250802225118,0.0006080988465782952,0.0006253960228425623,5.792623364421663e-05
2015-03-31,0.0006928719777453226,0.0006339228619488473,0.0006505686469175502,5.8949115796475254e-05
2015-04-01,0.0006954158374384067,0.0006367660898115332,0.0006529776003246822,5.864974762687352e-05
2015-04-02,0.0006771907249925567,0.0006198256329312064,0.0006358736405226039,5.736509206135027e-05
2015-04-06,0.0006607806847698331,0.0006046106955797864,0.0006204520082293487,5.6169989190046725e-05
2015-04-07,0.0006603351396295771,0.00060459657867728,0.0006200590224583714,5.573856095229704e-05
2015-04-08,0.0006458936331417706,0.000591175420921999,0.000606505632643287,5.4718212219771636e-05
2015-04-09,0.0006323726144659698,0.0005781097551492519,0.0005938546740024427,5.426285931671795e-05
2015-04-10,0.0006204238630944721,0.0005673834651408786,0.0005826483100333517,5.304039795359355e-05
2015-04-13,0.0006062517242239863,0.0005544015434863759,0.0005693073113776996,5.185018073761041e-05
