Date,SPY,QQQ,AAPL
2015-01-05,-0.01822465443009,-0.0147775671786799,-0.0285767157286963
2015-01-06,-0.0094636544991918,-0.0134986787566289,9.44257801901592e-05
2015-01-07,0.0123843136985795,0.0128086771693243,0.0139249734944125
2015-01-08,0.0175893257384742,0.0189588248520326,0.0377025157132944
2015-01-09,-0.0080459224630979,-0.0066048337057066,0.0010720019708685
2015-01-12,-0.0078644828278987,-0.0104815476475154,-0.0249493422150889
2015-01-13,-0.0028165454820046,-0.0002952138325974,0.0088395889391149
2015-01-14,-0.006055407774065,-0.0055315915517043,-0.0038180595033995
2015-01-15,-0.0092029717976406,-0.0130602117989783,-0.0275149599160551
2015-01-16,0.0130290439797005,0.011672643068546,-0.0078004849561139
2015-01-20,0.0021304020273632,0.0079037384898757,0.0254307573838048
2015-01-21,0.0050353512095523,0.0051040108366774,0.0076053567731749
2015-01-22,0.0147614418563465,0.0183348666320098,0.0256828702630883
2015-01-23,-0.0054980812879826,0.0022083647509691,0.0051469087422683
2015-01-26,0.0023394217875913,-0.0011514502082919,0.001061436366279
2015-01-27,-0.0132786897865842,-0.0262687967735091,-0.0356407371811318
2015-01-28,-0.0129069810959839,-0.0051395694505864,0.0549926906825079
2015-01-29,0.0092006910359356,0.0095660382568818,0.0306586529565809
2015-01-30,-0.0126545662558436,-0.007783741571557,-0.0147422325701574
2015-02-02,0.0123082383860901,0.008666802838349,0.0124686879930563
2015-02-03,0.0143573101998621,0.0095634472049997,0.000168701094247
2015-02-04,-0.0038146699990653,-0.0008742494919859,0.0076405404053698
2015-02-05,0.0100440531925641,0.0086144254515749,0.0071119834754978
2015-02-06,-0.0027692432807605,-0.0060905764741712,-0.0084565802258878
2015-02-09,-0.0044855557148836,-0.0032042689084138,0.006620500342093
2015-02-10,0.0105970941490251,0.015443756576725,0.0190292837030867
2015-02-11,0.0005796500600866,0.0036331165787486,0.0231681974449252
2015-02-12,0.0095710673301105,0.0115766925200807,0.0125732047104543
2015-02-13,0.0041079750922389,0.0085479181842395,0.0048902813724373
2015-02-17,0.001572182200549,0.0009349628355861,0.005884484515365
2015-02-18,9.479251910847175e-05,0.0014009620917611,0.0069386064310662
2015-02-19,-0.0007136638325356,0.0049336921266989,-0.0021000057027714
2015-02-20,0.0059823727773483,0.0066636307920788,0.0081411420477133
2015-02-23,-0.000142273649167,0.0010136992523603,0.0266683046575373
2015-02-24,0.0028367627124566,0.0007370840122257,-0.0062599433272371
2015-02-25,-0.0008497314423678,-0.0024893125256566,-0.0259060350568945
2015-02-26,-0.0011820693267143,0.0050643412496816,0.0125768839358866
2015-02-27,-0.0034122993994626,-0.0044184905612881,-0.0151424188373714
2015-03-02,0.0062937185935308,0.0089999002156583,0.0048921475070549
2015-03-03,-0.0041122762838897,-0.0046731547381289,0.0020894061565988
2015-03-04,-0.0042245211944805,-0.003865274454154,-0.0063590395948075
2015-03-05,0.0010931965030051,0.0017502910027127,-0.0167095709015758
2015-03-06,-0.0141638100382738,-0.011386465953033,0.0015017954731775
2015-03-09,0.0041357624220194,0.0028822849177272,0.004256791063243
2015-03-10,-0.0163546775475128,-0.0187413874914723,-0.0209030106478574
2015-03-11,-0.002344611675715,-0.0057869261167313,-0.0183998596298874
