date,corr_SPY_QQQ,corr_SPY_AAPL,corr_QQQ_AAPL
2015-02-04,0.9153065828731262,0.4880791657411488,0.6764614064435289
2015-02-05,0.9152984404218762,0.48803421182393825,0.6764444292269587
2015-02-06,0.9153100146631566,0.4880507517473871,0.6764486953135699
2015-02-09,0.9153036803293182,0.48806372593700253,0.6764649964960286
2015-02-10,0.9153040481308806,0.4880076195157997,0.6764232988254173
2015-02-11,0.9153204764095143,0.48814348446058475,0.6765168679347322
2015-02-12,0.9153103631669023,0.4880718974404244,0.6764918564763699
2015-02-13,0.91533507177305,0.48815554247052995,0.676534983781098
2015-02-17,0.9153212602180505,0.48816960220512406,0.6765201387352682
2015-02-18,0.9153208984618548,0.4881762068451521,0.6765182865283149
2015-02-19,0.9153184167686634,0.4881670155350138,0.6765182363273188
2015-02-20,0.9152658688908859,0.488168396655368,0.6764695956258076
2015-02-23,0.9152790001099989,0.4882152587502534,0.6764959330826135
2015-02-24,0.9152765111016063,0.4880226252665789,0.6762942833464118
2015-02-25,0.9152673225317856,0.4879614423844124,0.6762685324467551
2015-02-26,0.9152630729554891,0.4878180833630087,0.6761356189771452
2015-02-27,0.9151740885536712,0.4877280857430925,0.6761827988803576
2015-03-02,0.9151795272933532,0.4877797585934934,0.6762191141036281
2015-03-03,0.9151940233952702,0.487803867246078,0.6761834282987216
2015-03-04,0.9152036722480705,0.4877485549214285,0.6761103514225606
2015-03-05,0.9152114696841208,0.48779254915087444,0.6761347403782348
2015-03-06,0.9152115733631077,0.48760694482715916,0.6758661952495498
2015-03-09,0.9152682084986427,0.48714585860704274,0.6755044916267027
2015-03-10,0.9152683085278551,0.4871737289203447,0.6755184528817233
2015-03-11,0.9154756155319417,0.487843349539963,0.6758678058111656
2015-03-12,0.9154450270335535,0.48784357080035506,0.6759753233363952
2015-03-13,0.915319101115507,0.48836778251727425,0.6761249683699714
2015-03-16,0.9153210976465449,0.48846040050084194,0.6761704671416663
2015-03-17,0.9154646960347848,0.4886951554643603,0.6762343522913873
2015-03-18,0.9153514276141986,0.48819140066435024,0.6761050965611192
2015-03-19,0.9154245513248638,0.48848495541820114,0.6762520159545885
2015-03-20,0.9151988539823612,0.48859889993562283,0.6761114949768285
2015-03-23,0.915214902256073,0.4874220520574956,0.675215267684796
2015-03-24,0.9152193529442144,0.48716320496325877,0.6749269059518125
2015-03-25,0.9152083185830365,0.4872048953987713,0.6749521027438757
2015-03-26,0.915292285005522,0.4888693203035036,0.6760725421266175
2015-03-27,0.9152984118458455,0.4886451682954222,0.6757397174757083
2015-03-30,0.9152937037713296,0.48837461409554145,0.6752644280290252
2015-03-31,0.9154999860580116,0.48993259416132695,0.6761204399316842
2015-04-01,0.9156467918467895,0.4906640621476013,0.6766115705769575
2015-04-02,0.9156612120330327,0.4906480613986927,0.6765000168322511
2015-04-06,0.9155665987608659,0.4908351386857724,0.6764143913868872
2015-04-07,0.915669572112732,0.49153057112997006,0.6769235245741811
2015-04-08,0.9156652986421334,0.4916811497260521,0.676876741158499
2015-04-09,0.9155060198958687,0.4914204613200774,0.6759496924568469
2015-04-10,0.9155443548938474,0.4916804029069119,0.6761242084213662
2015-04-13,0.915563791429816,0.4917807578072882,0.6761762591192214
2015-04-14,0.9155183360233311,0.4917484030272223,0.6761792405780861
2015-04-15,0.9151320450558137,0.49151817940319914,0.6762456195150722
2015-04-16,0.9151869839748059,0.49162069479161175,0.6761712151736616
2015-04-17,0.9151679714731081,0.49158988460270964,0.6761977214332963
2015-04-20,0.9156156045293582,0.4926670718651195,0.6761095529404909
2015-04-21,0.9156187329436091,0.4950729798294926,0.678372859593826
2015-04-22,0.914973938633121,0.49512742456811165,0.6774365142073511
2015-04-23,0.9150878837929064,0.4959707552589445,0.6779787119622496
2015-04-24,0.9151047366892724,0.49623072033108684,0.6782341688485243
2015-04-27,0.9123317730263574,0.4963953843677082,0.6766280255251464
2015-04-28,0.9122902288134036,0.49246173612929633,0.6734359242465536
2015-04-29,0.911455749515605,0.48955859140045305,0.6729478211925926
2015-04-30,0.911513713139847,0.49050347490791063,0.6739150334755935
2015-05-01,0.9117762960190127,0.4956227652562206,0.6788345087707469
2015-05-04,0.9126526907492247,0.5017886163712512,0.6832791844638981
2015-05-05,0.9126162956630546,0.5013602487258608,0.6830594741775463
2015-05-06,0.9134614177254415,0.5071567729485792,0.6873740373786794
2015-05-07,0.9134624663267044,0.5077317342410546,0.6876008841521558
2015-05-08,0.9135506582937819,0.5083107665134463,0.6879087763948061
2015-05-11,0.9147991294490668,0.5141739404658129,0.6911980933976749
2015-05-12,0.9148868795453307,0.5154979984714897,0.6917445343273387
2015-05-13,0.914939154869258,0.5157553562067122,0.6917679750330172
2015-05-14,0.9147754725638909,0.5157576816141519,0.6917291352983039
2015-05-15,0.9158297081948946,0.5233714585319779,0.6977577689230959
2015-05-18,0.9157523371958881,0.523203657707482,0.6977345066523492
2015-05-19,0.9158559022004437,0.524210599604311,0.6986246722540973
2015-05-20,0.9158270094902704,0.5242213892339631,0.6986294653726949
2015-05-21,0.9156899385089325,0.5242033905525569,0.6986051379760714
2015-05-22,0.9156253494354606,0.5252603809776192,0.6998946388986748
2015-05-26,0.9154646679450847,0.5220741313585607,0.6978638174453151
2015-05-27,0.9174195475839129,0.5334048540478697,0.7048646052862
2015-05-28,0.9173177989686496,0.5417785058799969,0.7106854652069359
2015-05-29,0.9172756869712089,0.5418882043418105,0.7107193643615494
2015-06-01,0.9178608129742567,0.5456312717714971,0.7127810662357004
2015-06-02,0.917873853077789,0.5457792535258403,0.7126119614687669
2015-06-03,0.9175057919902613,0.5459408088300478,0.7130430211166605
2015-06-04,0.917673300810299,0.5458194102743544,0.7127264328997098
2015-06-05,0.9187635436600342,0.5465391077941942,0.7126875824599277
2015-06-08,0.9188304922813769,0.5471172492960149,0.7131793404091834
2015-06-09,0.9189580599230547,0.5493736311587604,0.7118673621346752
2015-06-10,0.9186689741566231,0.549237511927565,0.712089887361929
2015-06-11,0.9228641050893716,0.5563388903632153,0.7137920879428158
2015-06-12,0.9223525962614617,0.5537396491204792,0.7128266476180766
2015-06-15,0.9240695291028049,0.5608284247290275,0.7170629376962143
2015-06-16,0.9246667391365436,0.5603461094895799,0.7157940555321315
2015-06-17,0.9254761668838422,0.5622815961700967,0.716711382154472
2015-06-18,0.9254559523728063,0.5608580671058583,0.7140852793013786
