ticker,series,statistic,pvalue,used,nobs,crit_1pct,crit_5pct,crit_10pct,icbest
SPY,r_t,-15.72368878121349,1.3145998012965348e-28,9,2505,-3.4329631791044304,-2.8626944896608433,-2.5673845793841457,-15556.918379877887
SPY,r_t^2,-9.412108211057248,5.798035873229681e-16,7,2507,-3.4329610922579095,-2.8626935681060375,-2.567384088736619,-32264.189681288866
QQQ,r_t,-16.23520278620784,3.7760851712914555e-29,9,2505,-3.4329631791044304,-2.8626944896608433,-2.5673845793841457,-14433.77755829889
QQQ,r_t^2,-9.349465309340202,8.371445512103634e-16,10,2504,-3.4329642237790847,-2.862694950990622,-2.5673848250020415,-31167.351727664638
AAPL,r_t,-15.549464579508536,2.109105286656812e-28,8,2506,-3.432962135264372,-2.862694028699462,-2.567384333962417,-13081.72288452386
AAPL,r_t^2,-9.232645796922126,1.6623469863656313e-15,9,2505,-3.4329631791044304,-2.8626944896608433,-2.5673845793841457,-28560.55427022433
