ticker,epoch,train_loss,val_loss
SPY,1,0.054094313380963495,0.012185980555722896
SPY,2,0.02611128539715907,0.013102537452958632
SPY,3,0.022094257678346413,0.025986114888033575
SPY,4,0.0200695444955925,0.03219219147349182
SPY,5,0.01830709059447001,0.027314024349755568
SPY,6,0.018033999672302146,0.05130577503123145
SPY,7,0.017188016139472163,0.042716031664631504
SPY,8,0.016971596694633845,0.1127557000550239
SPY,9,0.016836665837126494,0.07468382097726715
SPY,10,0.01632713105115409,0.1255118453848189
SPY,11,0.015956633210568755,0.08798397327030914
SPY,12,0.014295103026467094,0.10550460267973982
SPY,13,0.014427981014936074,0.11425970475850762
SPY,14,0.015076005327056883,0.1491542082225931
SPY,15,0.013921862688282077,0.12132979953742545
SPY,16,0.013185043527792614,0.1624920293688774
SPY,17,0.012904760625024558,0.15734039225440094
SPY,18,0.01437494637481935,0.2181354297891907
SPY,19,0.014043144578154258,0.17360968882406969
SPY,20,0.013931679884590093,0.22933947705272315
SPY,21,0.014666434768384041,0.24026725743559824
QQQ,1,0.06465375036642883,0.03803943642887516
QQQ,2,0.034947211811826986,0.026341143212672592
QQQ,3,0.029164569226258465,0.030364577267049015
QQQ,4,0.026700260483327826,0.022866435578443867
QQQ,5,0.025783816109629768,0.02715558271207239
QQQ,6,0.024529634380426803,0.02952609053286521
QQQ,7,0.02385897316112691,0.021445637271888016
QQQ,8,0.023909338796594844,0.02144521864913944
QQQ,9,0.022991056034188835,0.023928433919892363
QQQ,10,0.02342220609417212,0.024975802911364513
QQQ,11,0.02233074860311443,0.027157345273788425
QQQ,12,0.021450771088628365,0.037910834467713386
QQQ,13,0.021216326904732123,0.034864539132062076
QQQ,14,0.022012775936403477,0.035404000890211784
QQQ,15,0.02106957044946776,0.032863928207560726
QQQ,16,0.020207378460884176,0.05654604892259923
QQQ,17,0.019601326675736903,0.04191934276858102
QQQ,18,0.020504173976227166,0.05065738810631244
QQQ,19,0.019426185781003587,0.051238602688671024
QQQ,20,0.01951289195043779,0.05964763413952744
QQQ,21,0.018031563323813282,0.05607775154699018
QQQ,22,0.017605490593251363,0.07259854803914609
QQQ,23,0.019736857191073535,0.0728863644535127
QQQ,24,0.018845742313610723,0.09060391133138235
QQQ,25,0.017045032183425814,0.1070148452738489
QQQ,26,0.01979074571620056,0.09150295993448168
QQQ,27,0.018345045248562033,0.09137741136162178
QQQ,28,0.0176283777810485,0.0989271092997945
AAPL,1,0.16376792479074742,0.04725876110403434
AAPL,2,0.091611543536614,0.04555164906533732
AAPL,3,0.07269550680793359,0.04501962343203849
AAPL,4,0.06881491947723062,0.0437698173944069
AAPL,5,0.06656908204458191,0.045570372671320816
AAPL,6,0.06376442961833712,0.047024446958001107
AAPL,7,0.061995890984115634,0.04721232951767203
AAPL,8,0.06083184049874722,0.044110788464330246
AAPL,9,0.058979934107057715,0.04702173208520896
AAPL,10,0.058773041883278546,0.04791725526793279
AAPL,11,0.05671210920618642,0.04945577386820662
AAPL,12,0.05622676735895387,0.047962470142089805
AAPL,13,0.056127127242702364,0.051332501640570335
AAPL,14,0.054543395101150687,0.05126193233266257
AAPL,15,0.05370630549754876,0.05424357818412608
AAPL,16,0.05358379371976703,0.054157648343538894
AAPL,17,0.054421892944995186,0.05335184999242209
AAPL,18,0.05465707659156565,0.05281294045456941
AAPL,19,0.05441243477521072,0.056174077903446945
AAPL,20,0.05334592874286669,0.0561882840010567
AAPL,21,0.05229001021921706,0.06139529442441636
AAPL,22,0.05254816197239878,0.05657540761150312
AAPL,23,0.05180397742894661,0.06270004139430281
AAPL,24,0.05069193917128333,0.0604067319545193
