step,date,w_rv_lag_1,w_rv_lag_5,w_rv_lag_21,w_abs_ret_lag1
255,2016-02-09,0.0008885390248934735,0.003768207397511762,0.00495092138112105,0.0008626416684619113
260,2016-02-17,0.0007024727325777635,0.0035010109391988955,0.005224710335746824,0.0007101942531890674
265,2016-02-24,0.0006180580876148125,0.003321801918301822,0.004965235291541646,0.0006808016452490612
270,2016-03-02,0.00030062401679472017,0.002934566828695946,0.0048299998788031125,0.0001735351721462044
275,2016-03-09,0.00023791424565906285,0.0026025987755165392,0.004260525441537226,0.00012247065871959058
280,2016-03-16,0.00014425552773807506,0.0020993707307632326,0.003772125175741149,5.0813106351775385e-05
285,2016-03-23,0.0001073854617827011,0.001770551674486944,0.003270364711903417,1.5005580112643638e-05
290,2016-03-31,1.839094788235175e-05,0.0013637950554873496,0.0027358969371897774,-0.00013618882699295142
295,2016-04-07,-0.00012990057796057866,0.0009327030963476505,0.001962259466419726,-0.00019236527705646575
300,2016-04-14,-0.00018404569252999443,0.0007888465945035996,0.0015728722757398382,-0.000253223235669858
305,2016-04-21,-0.00018444298312845947,0.0006431408748419688,0.0013169803600856826,-0.0002544677834947572
310,2016-04-28,-0.00031056375718182963,0.0002873096656571313,0.0009190549758634698,-0.0004279669358127656
315,2016-05-05,-0.00030809997910771807,0.00015441531225248093,0.0006711196925443557,-0.00035452687754668373
320,2016-05-12,-0.0003724363943282949,-3.737397390168078e-05,0.0003815497183470178,-0.000392852900462279
325,2016-05-19,-0.0004456460384221311,-0.00018310043276849748,0.0001123460682101517,-0.00044155967553438066
330,2016-05-26,-0.00046714662657634077,-0.00033010391796350013,-0.0001866737768412339,-0.0003400019765267741
335,2016-06-03,-0.0004225881975925539,-0.0003049922188037556,-0.00018370905300965995,-0.00031529927649277063
340,2016-06-10,-0.00043461599132227016,-0.00037753352226093604,-0.00023630294876249365,-0.0003642370133994322
345,2016-06-17,-0.00047905010310476124,-0.0004580355993002044,-0.0003373060599225432,-0.0004341638438687783
350,2016-06-24,-0.0014518075512289748,-0.0015286710843012146,-0.001634890638381433,-0.001560480681691857
355,2016-07-01,0.0005478358579121292,9.663549855485033e-05,-0.0019255119083290448,0.00039673270110089995
360,2016-07-11,0.00040211664581864666,0.00014244493474761626,-0.0014924648876841822,0.00031250859918705926
365,2016-07-18,0.0003287965244662879,8.358759586045117e-05,-0.0012114545180595053,0.00026455103049170575
370,2016-07-25,0.0002512912173672287,-8.42715510090907e-06,-0.0009477760301102674,0.0002077972154163694
375,2016-08-01,0.0001919025950804788,-4.51311519482949e-05,-0.0008204698326380071,0.00012827315813447704
380,2016-08-08,0.00012360652326057087,-0.00010432691362980783,-0.0008387095055838434,4.7795151377797435e-05
385,2016-08-15,9.663042183415153e-05,-0.00010558990521675001,-0.0007534596867849699,2.824614209636345e-05
390,2016-08-22,7.64225553187465e-05,-0.00010227498471665372,-0.0006674363882985288,1.049417697434216e-05
395,2016-08-29,5.177853216571832e-05,-0.00010887672983118967,-0.0006082590935876207,-1.6658753955176268e-05
