step,date,w_rv_lag_1,w_rv_lag_5,w_rv_lag_21,w_abs_ret_lag1
255,2016-02-09,0.0022408051571125623,0.00811852231067676,0.007624039259259172,0.003073923235555208
260,2016-02-17,0.0018875717757142728,0.006957752001677659,0.007634874164626666,0.0024439341218969145
265,2016-02-24,0.0016886009018792878,0.00604543154034257,0.007538868654545595,0.002120464834814295
270,2016-03-02,0.0012127826953943301,0.00506655788224929,0.0064721515131003155,0.0010514525807627183
275,2016-03-09,0.0010616329476914232,0.004503832015576283,0.0056234621792214615,0.0008763647182609798
280,2016-03-16,0.0008107314370300043,0.0035919170093460526,0.004703570988247712,0.0005688621452920049
285,2016-03-23,0.0006938809459731308,0.003091017777669129,0.004041460412979409,0.00043869231241803943
290,2016-03-31,0.00039664508308698087,0.002169172734961802,0.0029854085715533647,4.437192267305391e-05
295,2016-04-07,0.00019179082420993097,0.0016415794248554332,0.001955070913822204,-3.37390793145335e-08
300,2016-04-14,5.296071974634363e-05,0.0013176725002033737,0.0014552458107714523,-0.00021528261061618578
305,2016-04-21,-0.0001685707317898332,0.0007972221092300713,0.0006922254017372886,-0.0004908312783523242
310,2016-04-28,-0.0018638254691488304,-0.0027462656564742373,-0.0018646732188628932,-0.0025145094767686006
315,2016-05-05,-0.0011122055341987664,-0.0013444079062806058,-0.001533115275934478,-0.0018068938023188283
320,2016-05-12,-0.0011288869371475743,-0.0015073646215077263,-0.0011458199448827612,-0.001814552937500907
325,2016-05-19,-0.0005797177076849249,-0.0017141482167537228,-0.0005353821359632071,-0.0006585346179508638
330,2016-05-26,-0.0006507602553287544,-0.0016064489802683425,-6.638630169021388e-05,-0.000662397833602956
335,2016-06-03,-0.0006393855668142093,-0.0014716304043465474,-0.00021442325032231555,-0.0007365093914823126
340,2016-06-10,-0.0006016847452885132,-0.0013589326158585813,-0.00028407354277330707,-0.0007232001512661278
345,2016-06-17,-0.0007305623865156095,-0.001547048564384673,-0.0009147239915228965,-0.0009785246886298837
350,2016-06-24,-0.0008762390293046715,-0.0016427119923695724,-0.0015831996436392942,-0.0012364448943790298
355,2016-07-01,-0.0006363399311899943,-0.0015697330865234933,-0.0019284307624377677,-0.0008104305321948929
360,2016-07-11,-0.0005940139087825861,-0.00139138528785761,-0.0017788260656964702,-0.0007382241313320994
365,2016-07-18,-0.0006288464141925135,-0.0015143514898780565,-0.0018518795516367318,-0.0007730848433535424
370,2016-07-25,-0.0006307928005637249,-0.0014551204122668301,-0.001759685459478174,-0.0007882355320335777
375,2016-08-01,-0.0009311417553347044,-0.0030412426028273336,-0.0041678638445747365,1.0532420099208033e-05
380,2016-08-08,-0.000948815924513644,-0.0020953571413877582,-0.003689580355186277,-0.0001387340251584157
385,2016-08-15,-0.0008835992771328346,-0.0019225335670135042,-0.003194886475911296,-0.00024891736307789335
390,2016-08-22,-0.0007926649474531043,-0.0017107532734498727,-0.0027782022339463935,-0.00026589130298678825
395,2016-08-29,-0.0007138995819058682,-0.001540154428896436,-0.002387541750329737,-0.0002645096056346547
400,2016-09-06,-0.0006483947532753925,-0.0013890446924061804,-0.0021602073368497555,-0.0002860485715329156
405,2016-09-13,-0.0003894663335417606,-0.001874311194034311,-0.004033265366431357,3.9143921041981766e-05
410,2016-09-20,0.0004935469660153741,-0.0006823907637680553,-0.0050317412051971815,0.0017196912188247122
415,2016-09-27,0.0003131808126844946,-0.0005349053752853447,-0.00441869223595359,0.0012315536476490624
420,2016-10-04,0.00015864750406317845,-0.0006373358199955901,-0.0038519720533599405,0.0008821670337662266
425,2016-10-11,3.142632077838277e-05,-0.0007618756427724176,-0.003338316156753681,0.0006581179535565134
430,2016-10-18,3.555630337800038e-05,-0.0006954260724733157,-0.002886542443556094,0.0006008619060814531
435,2016-10-25,8.690856618680035e-06,-0.0006412277936591463,-0.00255296656403128,0.0004799302346457125
440,2016-11-01,-0.00023879683885887854,-0.0009536131418351807,-0.0030582212282657833,0.0002546289122476489
445,2016-11-08,-0.0002715696360016188,-0.0009660368911670184,-0.0029438645336711477,0.0002166804574806264
450,2016-11-15,7.754675759004799e-05,-0.0012793423851483912,-0.0036439791657641315,0.000596225977737775
455,2016-11-22,0.00042498932883186584,-0.0009826826567446943,-0.003585749128074168,0.0009434287125339143
460,2016-11-30,0.0003247192478198312,-0.0009031506911928399,-0.0031563586507152466,0.0007601147843244577
465,2016-12-07,0.000171427393932972,-0.0009703969143019611,-0.0028595969295382336,0.0005474156933083632
470,2016-12-14,5.19222165187556e-05,-0.001171752785447794,-0.002778218680531768,0.0005441270269378745
475,2016-12-21,4.247254254295549e-05,-0.0010246645500953406,-0.002415354684258754,0.00047770572259451307
480,2016-12-29,1.195710683955097e-05,-0.0009227492265473608,-0.0021295432122085374,0.000386467339093993
485,2017-01-06,-8.066650577561612e-05,-0.0009155048417542187,-0.001975579620888234,0.00021383352598235915
490,2017-01-13,-0.00011531086966716209,-0.0008530255796486151,-0.0017767899724787364,0.00013943313863401318
495,2017-01-23,-0.00011912485471762172,-0.0007578285539690477,-0.001563274557640116,0.00010376993839952112
500,2017-01-30,-0.00022236828134856844,-0.0007896113652367931,-0.0015039379950126143,-8.181797187320666e-05
505,2017-02-06,-0.0016197548433696848,-0.0020543713516091634,-0.003544836833471283,-0.0017430279536100172
