step,date,w_rv_lag_1,w_rv_lag_5,w_rv_lag_21,w_abs_ret_lag1
255,2016-02-09,0.001127058282783791,0.0024362762805322036,0.0026745777634763867,0.0013382926756955202
260,2016-02-17,0.0010962544926927118,0.0022646534435131027,0.003133436142346025,0.0012116545094970424
265,2016-02-24,0.000849433811136726,0.0022097191458632665,0.0029299231172083733,0.0009189738107842774
270,2016-03-02,0.000587821869714994,0.00195938518772155,0.0028978945667353095,0.0006557334312882999
275,2016-03-09,0.0004767422639246143,0.001740989578468546,0.00257495042421319,0.0005324105409562737
280,2016-03-16,0.00034140625683947334,0.0013738880176427128,0.0022935175493697508,0.0004057529423885418
285,2016-03-23,0.00026235036236931707,0.0011311701407523264,0.0019777785813082584,0.00030992089635812443
290,2016-03-31,0.0001845086006401708,0.0008803366670734956,0.0016547700365880096,0.0002013816471856476
295,2016-04-07,7.533358776451938e-05,0.0005237023193987042,0.0011201564985479687,0.00016500793721458258
300,2016-04-14,-9.830826736811218e-06,0.0004205249275782328,0.0008396195850630491,6.3469906477811e-05
305,2016-04-21,-4.951322759211825e-05,0.00031305477670610324,0.0006631199561814596,-1.8202555476702283e-06
310,2016-04-28,-8.977577368458883e-05,0.00019106360706839506,0.0005102821984743752,-6.249510537904787e-05
315,2016-05-05,-0.00012346895912059832,4.086894094483729e-05,0.00031777101632599384,-5.748445217768176e-05
320,2016-05-12,-0.0002212835179052477,-9.369842255353738e-05,9.832336073804617e-05,-0.000170359676458547
325,2016-05-19,-0.0002512065087947477,-0.00016868717505362998,-8.920664752190273e-05,-0.0001741631893002644
330,2016-05-26,-0.00031542004083570945,-0.00025952479913966055,-0.00021378026599101272,-0.00022038659368491383
335,2016-06-03,-0.00028750537853128885,-0.0002419362104058212,-0.0002031882996077607,-0.00020213472836064345
340,2016-06-10,-0.0003092892215389586,-0.0003007057240745383,-0.00024248164312218686,-0.00022695476511505955
345,2016-06-17,-0.0003079186932163763,-0.00031106211309189156,-0.00025702115766121136,-0.0002448419633186656
350,2016-06-24,-0.0011457915191082951,-0.0012821988887884103,-0.0012479836960364733,-0.001231182013411762
355,2016-07-01,0.00041888608986172016,0.00015722615702683202,-0.0014681596760273716,0.00036777400270013717
360,2016-07-11,0.00030782037095094703,0.0002495949172962995,-0.0010902357130456613,0.0002870386662975702
365,2016-07-18,0.0002752743113998152,0.00019154874667554734,-0.0008700396569508733,0.0002802514544880731
370,2016-07-25,0.0002217659298302322,0.00013321089153387283,-0.0007005302192581783,0.00021577676701090899
375,2016-08-01,0.00019119147550168803,0.00011162996450144191,-0.0006039410047056754,0.00018486392289371304
380,2016-08-08,0.000138987110052884,5.3871102933758264e-05,-0.000608074034222418,0.00011677215165620002
385,2016-08-15,0.00011271719304252123,3.668161908062913e-05,-0.0005495393678054508,8.637845296932896e-05
390,2016-08-22,8.950989881723032e-05,1.9352735458458112e-05,-0.0004983956957229213,6.060753533355705e-05
395,2016-08-29,6.0379745155562504e-05,-6.536285357895774e-06,-0.0004696674567238328,1.952036707103139e-05
400,2016-09-06,4.0639795773005307e-05,-2.241768777416325e-05,-0.00043088492221538184,2.046128354061126e-06
405,2016-09-13,0.00021112673750547556,-0.00035591361284307345,-0.0010493551273897015,-0.00011437809632176978
410,2016-09-20,0.00021364211918324216,-0.00023441225109193477,-0.0009588972354259915,-4.411569894811461e-05
415,2016-09-27,0.00010965734017086534,-0.00028044382348064,-0.0009064393162350201,-0.00013053979761047687
420,2016-10-04,4.969253476239724e-05,-0.00029633221347857857,-0.0008215149494606236,-0.00011965587578449886
425,2016-10-11,-4.3021724535227374e-05,-0.00037956155253401376,-0.0007339697419924663,-0.00019538477325541643
430,2016-10-18,-5.5188113570332616e-05,-0.00034915401693161487,-0.0006679692794469724,-0.00019401595446105703
