date,ticker,rmse,qlike,baseline_rmse,alert_upper_rmse,psi_rv,psi_feat_max,perf_alert,drift_alert,health_alert,health_all_same,health_has_negative,health_extreme_outlier,alert_level
2021-06-07,QQQ,0.05786326,1895194.98611,0.06048643,0.084681,0.5655,10.7379,0,1,1,0,1,0,RED
2021-07-07,QQQ,0.04296605,1462813.832611,0.06048643,0.084681,0.2473,10.7379,0,1,1,0,1,0,RED
2021-08-05,QQQ,0.03996454,846917.049533,0.06048643,0.084681,0.2473,5.4082,0,1,1,0,1,0,RED
2021-09-03,QQQ,0.01623513,209355.532964,0.06048643,0.084681,0.2473,5.4082,0,1,1,0,1,0,RED
2021-10-05,QQQ,0.03578395,56316.944535,0.06048643,0.084681,0.1617,5.4082,0,1,1,0,1,0,RED
2021-11-03,QQQ,0.03742424,96359.948144,0.06048643,0.084681,0.1617,4.2203,0,1,1,0,1,0,RED
2021-12-03,QQQ,0.04425152,424779.972795,0.06048643,0.084681,0.1617,4.2203,0,1,1,0,1,0,RED
2022-01-04,QQQ,0.06178451,1651638.063834,0.06048643,0.084681,0.4573,4.2203,0,1,1,0,1,0,RED
2022-02-03,QQQ,0.10108729,2152757.801173,0.06048643,0.084681,0.4573,7.5003,1,1,1,0,1,0,RED
2022-03-07,QQQ,0.12377819,1824338.601455,0.06048643,0.084681,0.4573,7.5003,1,1,1,0,1,0,RED
2022-04-05,QQQ,0.13058892,541165.250811,0.06048643,0.084681,1.3572,7.5003,1,1,1,0,1,0,RED
2022-05-05,QQQ,0.16483413,4.040238,0.06048643,0.084681,1.3572,16.5636,1,1,0,0,0,0,RED
2022-06-06,QQQ,0.18186088,3.50053,0.06048643,0.084681,1.3572,16.5636,1,1,0,0,0,0,RED
2022-07-07,QQQ,0.20058497,3.743432,0.06048643,0.084681,1.4809,16.5636,1,1,0,0,0,0,RED
2022-08-05,QQQ,0.16847616,28897.85053,0.06048643,0.084681,1.4809,16.5636,1,1,1,0,1,0,RED
2022-09-06,QQQ,0.14672479,617700.877519,0.06048643,0.084681,1.4809,16.5636,1,1,1,0,1,0,RED
2022-10-05,QQQ,0.14927601,1026504.305907,0.06048643,0.084681,0.7199,16.5636,1,1,1,0,1,0,RED
2022-11-03,QQQ,0.15765519,997611.336381,0.06048643,0.084681,0.7199,16.5636,1,1,1,0,1,0,RED
2022-12-05,QQQ,0.22393296,408811.04132,0.06048643,0.084681,0.7199,16.5636,1,1,1,0,1,0,RED
2023-01-05,QQQ,0.2009992,908445.20318,0.06048643,0.084681,2.324,16.5636,1,1,1,0,1,0,RED
2023-02-06,QQQ,0.19046984,1628386.375531,0.06048643,0.084681,2.324,14.9211,1,1,1,0,1,0,RED
2023-03-08,QQQ,0.08485909,2069736.505643,0.06048643,0.084681,2.324,14.9211,1,1,1,0,1,0,RED
2023-04-06,QQQ,0.07350388,1901269.588535,0.06048643,0.084681,0.7679,14.9211,0,1,1,0,1,0,RED
2023-05-08,QQQ,0.05577643,1548868.851171,0.06048643,0.084681,0.7679,9.2444,0,1,1,0,1,0,RED
2023-06-07,QQQ,0.05569827,1120526.992552,0.06048643,0.084681,0.7679,9.2444,0,1,1,0,1,0,RED
2023-07-10,QQQ,0.04817598,380555.747518,0.06048643,0.084681,0.2091,9.2444,0,1,1,0,1,0,RED
2023-08-08,QQQ,0.0449239,22839.329742,0.06048643,0.084681,0.2091,11.2021,0,1,1,0,1,0,RED
2023-09-07,QQQ,0.03983496,35907.709011,0.06048643,0.084681,0.2091,11.2021,0,1,1,0,1,0,RED
2023-10-06,QQQ,0.04176237,44888.691761,0.06048643,0.084681,0.2874,11.2021,0,1,1,0,1,0,RED
2023-11-06,QQQ,0.04296872,101066.658899,0.06048643,0.084681,0.2874,12.4337,0,1,1,0,1,0,RED
2023-12-06,QQQ,0.0421089,256721.987334,0.06048643,0.084681,0.2874,12.4337,0,1,1,0,1,0,RED
2024-01-08,QQQ,0.04043151,247740.188719,0.06048643,0.084681,0.2732,12.4337,0,1,1,0,1,0,RED
2024-02-07,QQQ,0.03521676,206852.574078,0.06048643,0.084681,0.2732,5.1826,0,1,1,0,1,0,RED
2024-03-08,QQQ,0.04152495,25229.673261,0.06048643,0.084681,0.2732,5.1826,0,1,1,0,1,0,RED
2024-04-09,QQQ,0.03935341,25229.726193,0.06048643,0.084681,0.0748,5.1826,0,1,1,0,1,0,RED
2024-05-08,QQQ,0.0439852,115.091187,0.06048643,0.084681,0.0748,8.8926,0,1,1,0,1,0,RED
2024-06-07,QQQ,0.03411333,2.150637,0.06048643,0.084681,0.0748,8.8926,0,1,0,0,0,0,YELLOW
2024-07-10,QQQ,0.03656306,2.203855,0.06048643,0.084681,0.1746,8.8926,0,1,0,0,0,0,YELLOW
2024-08-08,QQQ,0.07972978,1525868.232263,0.06048643,0.084681,0.1746,3.6524,0,1,1,0,1,0,RED
2024-09-09,QQQ,0.09241779,2210073.64979,0.06048643,0.084681,0.1746,3.6524,1,1,1,0,1,0,RED
2024-10-08,QQQ,0.09470937,2813320.830879,0.06048643,0.084681,0.4517,3.6524,1,1,1,0,1,0,RED
2024-11-06,QQQ,0.06538299,1307312.726332,0.06048643,0.084681,0.4517,7.0339,0,1,1,0,1,0,RED
2024-12-06,QQQ,0.04750772,642455.714259,0.06048643,0.084681,0.4517,7.0339,0,1,1,0,1,0,RED
2016-08-03,AAPL,0.14018174,1140402.894505,0.15530188,0.21742263,,,0,0,1,0,1,0,YELLOW
2016-09-01,AAPL,0.13178214,400984.819441,0.15530188,0.21742263,,,0,0,1,0,1,0,YELLOW
2016-10-03,AAPL,0.14254107,565810.328448,0.15530188,0.21742263,,,0,0,1,0,1,0,YELLOW
2016-11-01,AAPL,0.06807875,299282.424909,0.15530188,0.21742263,,,0,0,1,0,1,0,YELLOW
2016-12-01,AAPL,0.07869635,390002.81913,0.15530188,0.21742263,,,0,0,1,0,1,0,YELLOW
2017-01-03,AAPL,0.04759169,113612.29588,0.15530188,0.21742263,,,0,0,1,0,1,0,YELLOW
2017-02-02,AAPL,0.11925152,98017.510041,0.15530188,0.21742263,,,0,0,1,0,1,1,YELLOW
2017-03-06,AAPL,0.11306793,118580.307825,0.15530188,0.21742263,,,0,0,1,0,1,1,YELLOW
2017-04-04,AAPL,0.11330543,118579.904862,0.15530188,0.21742263,,,0,0,1,0,1,1,YELLOW
2017-05-04,AAPL,0.02612049,111282.603918,0.15530188,0.21742263,,,0,0,1,0,1,0,YELLOW
2017-06-05,AAPL,0.04932872,28344.988332,0.15530188,0.21742263,,,0,0,1,0,1,0,YELLOW
2017-07-05,AAPL,0.07625754,523888.66798,0.15530188,0.21742263,,,0,0,1,0,1,0,YELLOW
2017-08-03,AAPL,0.10126695,534945.122686,0.15530188,0.21742263,,,0,0,1,0,1,0,YELLOW
2017-09-01,AAPL,0.09912028,1340609.807995,0.15530188,0.21742263,,,0,0,1,0,1,0,YELLOW
2017-10-03,AAPL,0.081515,845067.319172,0.15530188,0.21742263,,,0,0,1,0,1,0,YELLOW
2017-11-01,AAPL,0.06462902,997268.233367,0.15530188,0.21742263,,,0,0,1,0,1,0,YELLOW
2017-12-01,AAPL,0.05953879,433198.850365,0.15530188,0.21742263,,,0,0,1,0,1,0,YELLOW
2018-01-03,AAPL,0.06173401,436355.63292,0.15530188,0.21742263,,,0,0,1,0,1,0,YELLOW
2018-02-02,AAPL,0.07871804,276129.842188,0.15530188,0.21742263,,,0,0,1,0,1,0,YELLOW
2018-03-06,AAPL,0.11496697,1155626.403637,0.15530188,0.21742263,,,0,0,1,0,1,0,YELLOW
2018-04-05,AAPL,0.1378914,1792429.825511,0.15530188,0.21742263,0.1407,,0,1,1,0,1,0,RED
2018-05-04,AAPL,0.15599479,3304589.430288,0.15530188,0.21742263,0.1407,4.3179,0,1,1,0,1,0,RED
2018-06-05,AAPL,0.12887462,2436230.603353,0.15530188,0.21742263,0.1407,4.3179,0,1,1,0,1,0,RED
2018-07-05,AAPL,0.10243246,2406250.21515,0.15530188,0.21742263,0.1314,4.3179,0,1,1,0,1,0,RED
2018-08-03,AAPL,0.11085312,1189316.580848,0.15530188,0.21742263,0.1314,2.3931,0,1,1,0,1,1,RED
2018-09-04,AAPL,0.11133868,1061118.547168,0.15530188,0.21742263,0.1314,2.3931,0,1,1,0,1,1,RED
2018-10-03,AAPL,0.11739939,970342.923704,0.15530188,0.21742263,0.154,2.3931,0,1,1,0,1,1,RED
2018-11-01,AAPL,0.1840154,1870515.320116,0.15530188,0.21742263,0.154,2.031,0,1,1,0,1,0,RED
2018-12-03,AAPL,0.23652079,1717634.870931,0.15530188,0.21742263,0.154,2.031,1,1,1,0,1,0,RED
