,SPY_sends,QQQ_sends,AAPL_sends
SPY_receives,0.8657373072899377,0.11865647837351938,0.015606214336542714
QQQ_receives,0.7929853887412154,0.1909274433185974,0.016087167940186786
AAPL_receives,0.5047997117132227,0.1093463675945491,0.3858539206922279
