Date,Close,High,Low,Open,Volume
2015-01-02,170.125,171.3258145622169,169.08982374735015,170.91174406115695,121465900
2015-01-05,167.0526123046875,169.24718101537695,166.74620416225187,169.08155533396388,169632600
2015-01-06,165.47914123535156,167.88074508876025,164.68412031268113,167.35901221336937,209151400
2015-01-07,167.54122924804688,167.8807701425897,166.35699350286723,166.80418415106138,125346700
2015-01-08,170.5142364501953,170.72956120963863,168.93249665478461,168.9490503774883,147217800
2015-01-09,169.14779663085938,170.94486105666158,168.53496775123423,170.92829469871802,158567300
2015-01-12,167.82275390625,169.43763882404554,167.21821456736416,169.28029002598933,144396100
2015-01-13,167.35073852539062,170.1664129335598,166.05055106093315,169.0401406430063,214553300
2015-01-14,166.34042358398438,166.53918199916947,164.44398600526128,165.33836728251805,192991100
2015-01-15,164.81661987304688,167.29275329332586,164.70068064236253,166.9780683165703,176613900
2015-01-16,166.9780731201172,167.1354219312357,164.42739733525644,164.60958936534854,211879600
2015-01-20,167.3341827392578,167.88075887871344,165.76899662094755,167.61574767057863,130991100
2015-01-21,168.17889404296875,168.65921739145298,166.40667261614846,166.87042960463523,122942700
2015-01-22,170.67987060546875,170.8123635660142,167.55777539756028,168.9324925342067,174356000
2015-01-23,169.74403381347656,170.6798370329486,169.61152824256558,170.42310275064852,117516800
2015-01-26,170.1416015625,170.23269759703916,168.81658326680397,169.528785181447,92009700
2015-01-27,167.89727783203125,169.04010359425013,167.06913699508286,168.08774668633,134044600
2015-01-28,165.74415588378906,169.18093632444723,165.55368697285624,169.0815634381223,168514300
2015-01-29,167.27615356445312,167.53287517347198,164.53499708500755,165.94284646008185,173585400
2015-01-30,165.1726837158203,167.42522775296274,164.90768522485263,166.1002100252723,197729700
2015-02-02,167.21823120117188,167.30932721771725,163.85598072283597,165.66961155632973,163107000
2015-02-03,169.6363525390625,169.6446420340867,167.73991573305065,168.1125765528038,124212900
2015-02-04,168.990478515625,170.0836308827361,168.53499836266207,168.87453926181905,134306700
2015-02-05,170.69638061523438,170.84545253276332,169.57839809768427,169.65292773823575,97953200
2015-02-06,170.22433471679688,171.62389461456883,169.7026019974931,171.0607523302302,125672000
2015-02-09,169.46249389648438,170.29891174267553,169.0567002644991,169.57843312899038,87219000
2015-02-10,171.26785278320312,171.52457449325172,169.50390825922682,170.49768765305734,96164200
2015-02-11,171.36715698242188,171.79779370471647,170.45620975176678,171.10215851699624,91087800
2015-02-12,173.01519775390625,173.07317368320975,171.40032550339623,172.16221362577974,97545900
2015-02-13,173.72740173339844,173.77708816692638,172.88269445414045,173.13942875474757,93670400
2015-02-17,174.00074768066406,174.17466289233747,173.16432961949462,173.4127618698397,76968200
2015-02-18,174.01724243164062,174.09177207607388,173.363004077811,173.6280152176981,80652900
2015-02-19,173.89309692382812,174.2574810973065,173.28028048337146,173.4210629801367,91462500
2015-02-20,174.93650817871094,175.01103783545233,172.8578661957788,173.47897194148132,140896400
