date,regime,ticker,post_low,post_med,post_high
2015-02-03,1,SPY,0.09699769498678715,0.9030023050132094,2.722984657752166e-63
2015-02-04,2,SPY,0.8944812645893195,0.10537435782008304,0.00014437759061239818
2015-02-05,1,SPY,0.10539340634989348,0.8944570239862732,0.0001495696638343458
2015-02-06,2,SPY,0.884142173264432,0.11367883158394822,0.0021789951516065238
2015-02-09,1,SPY,0.112696364920836,0.8842053997561721,0.0030982353229632082
2015-02-10,2,SPY,0.8613845888374503,0.12085033299048382,0.017765078172121185
2015-02-11,1,SPY,0.116308569194042,0.8615115773398526,0.022179853466074373
2015-02-12,2,SPY,0.7955429796543725,0.12407856128068247,0.08037845906494082
2015-02-13,1,SPY,0.1057318024155121,0.7956234027411179,0.09864479484333048
2015-02-17,2,SPY,0.5720626471951895,0.11225438044890589,0.3156829723559405
2015-02-18,1,SPY,0.06764256424623025,0.5718853998924123,0.36047203586137605
2015-02-19,0,SPY,0.3120898032663217,0.07151569472193457,0.616394502011699
2015-02-20,0,SPY,0.02965232512136161,0.31191213538575263,0.6584355394928478
2015-02-23,0,SPY,0.0757853592398298,0.031208195506972902,0.8930064452531936
2015-02-24,0,SPY,0.006486550146183849,0.07560857564428716,0.9179048742095811
2015-02-25,0,SPY,0.008219338347703376,0.006815462684914219,0.9849651989673327
2015-02-26,0,SPY,0.00017782481297325508,0.008171275584945223,0.9916508996020438
2015-02-27,0,SPY,8.277389568158707e-05,0.00018766595611615386,0.9997295601482472
2015-03-02,0,SPY,1.5608143958075936e-06,8.550128522506692e-05,0.9999129379004089
2015-03-03,0,SPY,3.443498361791309e-07,3.254809677112613e-06,0.99999640084047
2015-03-04,0,SPY,7.291350182164543e-08,1.5800668591208588e-06,0.9999983470196431
2015-03-05,0,SPY,7.944814758604995e-08,4.834778266158946e-07,0.9999994370739834
2015-03-06,0,SPY,2.057489070452509e-07,1.717620381080058e-06,0.9999980766307623
2015-03-09,0,SPY,5.01434005930035e-07,1.241811359679112e-06,0.9999982567546073
2015-03-10,0,SPY,1.956152029692395e-06,4.81477561201435e-06,0.99999322907236
2015-03-11,0,SPY,2.3106297131720778e-06,5.975082130217501e-06,0.9999917142881646
2015-03-12,0,SPY,3.4058118083467424e-06,7.3583379098968915e-06,0.9999892358502611
2015-03-13,0,SPY,5.850871116827848e-06,9.38363953142588e-06,0.9999847654893022
2015-03-16,0,SPY,8.566875494753207e-06,1.4622103900676994e-05,0.999976811020587
2015-03-17,0,SPY,1.552209975887085e-05,1.7440209153339215e-05,0.9999670376910949
2015-03-18,0,SPY,3.331230263904584e-05,3.225959959840358e-05,0.9999344280977305
2015-03-19,0,SPY,6.0292211249513404e-05,5.379921727002032e-05,0.9998859085715235
2015-03-20,0,SPY,0.00011187147842808834,9.35859069691708e-05,0.9997945426146105
2015-03-23,0,SPY,0.00022288440318883203,0.00015747794804755265,0.9996196376487264
2015-03-24,0,SPY,0.0005070197258974492,0.00031921956547420146,0.999173760708602
2015-03-25,0,SPY,0.0012659365986537664,0.0007014581772893624,0.9980326052240224
2015-03-26,0,SPY,0.0017326964751941784,0.00153391388440072,0.9967333896403724
2015-03-27,0,SPY,0.0029977641431109064,0.0020429182979680334,0.9949593175589301
2015-03-30,0,SPY,0.0036533299473654607,0.003432990944408436,0.9929136791081965
2015-03-31,0,SPY,0.0045786522025230494,0.003971407929566097,0.9914499398679049
2015-04-01,0,SPY,0.004166300325947245,0.004858482655867198,0.9909752170181725
2015-04-02,0,SPY,0.004497363108362275,0.0043500999840074646,0.9911525369076334
2015-04-06,0,SPY,0.003048398942745555,0.0046534085791183335,0.9922981924781411
2015-04-07,0,SPY,0.002228657067972278,0.003120212437170347,0.9946511304948471
2015-04-08,0,SPY,0.0008106648713429444,0.002288341473541434,0.99690099365511
2015-04-09,0,SPY,0.0002851757861687173,0.0008308200640317102,0.9988840041498136
2015-04-10,0,SPY,8.719838070754081e-05,0.00030364609962208513,0.9996091555197028
2015-04-13,0,SPY,2.6522861056891408e-05,9.893482219053664e-05,0.9998745423167084
2015-04-14,0,SPY,8.021456162168599e-06,3.616650663083487e-05,0.9999558120372027
2015-04-15,0,SPY,3.502487075102061e-06,1.3332130021520867e-05,0.9999831653829505
2015-04-16,0,SPY,3.0640375791797394e-06,8.59610569324225e-06,0.9999883398567088
2015-04-17,0,SPY,3.9261064498364285e-06,8.171912137811044e-06,0.9999879019813661
2015-04-20,0,SPY,3.7443463379063046e-06,1.0621955529163132e-05,0.9999856336981707
2015-04-21,0,SPY,2.956002425472248e-06,8.548453433500643e-06,0.9999884955441413
2015-04-22,0,SPY,2.8016492443612726e-06,8.204644942888928e-06,0.9999889937058443
2015-04-23,0,SPY,7.274711050957034e-07,7.34802236319724e-06,0.9999919245064819
2015-04-24,0,SPY,2.2142882620642754e-07,1.97639758672209e-06,0.9999978021735665
2015-04-27,0,SPY,2.4221797773544713e-07,1.638357229881402e-06,0.9999981194247941
2015-04-28,0,SPY,1.3974803015065557e-07,1.6788605081117135e-06,0.9999981813915094
2015-04-29,0,SPY,8.66587398041775e-08,9.047538471830227e-07,0.9999990085873746
2015-04-30,0,SPY,1.601184680096421e-07,1.001613231309479e-06,0.999998838268304
2015-05-01,0,SPY,2.583096242220557e-07,1.6553948830112632e-06,0.9999980862954893
2015-05-04,0,SPY,4.526257063156619e-07,1.7231171128547878e-06,0.9999978242571864
2015-05-05,0,SPY,8.826030887152383e-07,3.155291371215741e-06,0.9999959621055392
2015-05-06,0,SPY,9.631530710652991e-07,3.731413756581813e-06,0.9999953054332228
2015-05-07,0,SPY,1.8967525083337876e-06,3.894502484512119e-06,0.9999942087450228
2015-05-08,0,SPY,3.7466579882539914e-06,7.66156637743466e-06,0.99998859177565
2015-05-11,0,SPY,3.63983575472297e-06,9.500243854609864e-06,0.9999868599203843
2015-05-12,0,SPY,3.4561828100410304e-06,9.122638861426065e-06,0.999987421178377
